company_name,website,project_sector,project_state,industry,segment
Robinson Inc,,Metal Fabrication,Iowa,Metals & Materials,
LMT Defense,,Defense,Iowa,Defense,Defense Tech
New Horizon Cuisine,,Food Mfg,Iowa,Food & Beverage,
Dexter Laundry,,Industrial Equipment,Iowa,Industrial Equipment,
Morrison Weighing Systems,,Industrial Equipment,Iowa,Industrial Equipment,
Kraft Heinz,,Food Processing,Iowa,Food & Beverage,
Critical Materials Recycling,,Advanced Mfg/Critical Minerals,Iowa,Energy,Battery Components
HF Rubber,,Industrial Equipment,Kansas,Industrial Equipment,
Three Dog Brands,,Food,Kansas,Food & Beverage,
GM Fairfax,,Automotive,Kansas,Automotive,
Ford Motor Company,,Automotive/EV,Kentucky,Automotive,EV Battery
GE Appliances,,Advanced Mfg,Kentucky,General Manufacturing,
Tate Inc./Kingspan,,Data Center,Kentucky,Tech,AI & Machine Learning
Shinsung ST USA,,Energy Storage,Kentucky,Energy,Battery Storage
James Composites,,Advanced Mfg,Kentucky,General Manufacturing,
Saronic Technologies,,Defense/Autonomous,Louisiana,Defense,Defense Tech
Walmart,,Logistics,Louisiana,Logistics,
SLB,,Data Center/Tech,Louisiana,Tech,AI & Machine Learning
The Shaw Group,,Advanced Mfg,Louisiana,General Manufacturing,
Ampirical,,Grid/Engineering,Louisiana,Energy,Clean Energy
Viking Attachments,,Advanced Mfg,Louisiana,General Manufacturing,
Hut 8,,Data Center/AI,Louisiana,Tech,AI & Machine Learning
ElementUSA,,Critical Minerals,Louisiana,Energy,Battery Components
Epic Piping,,Industrial Mfg,Louisiana,General Manufacturing,
Plastipak Packaging,,Packaging,Louisiana,Packaging,
Pipe & Steel Industrial,,Industrial Mfg,Louisiana,General Manufacturing,
MD Manufacturing 4.0,,Advanced Mfg,Maryland,General Manufacturing,
Samsung Biologics,,Life Sciences,Maryland,Life Sciences,Biotech & Life Sciences
AstraZeneca,,Life Sciences,Texas,Life Sciences,Biotech & Life Sciences
Patton/PTI,,Defense/Electronics,Maryland,Defense,Defense Tech
Syngene International,,Life Sciences,Maryland,Life Sciences,Biotech & Life Sciences
