company_name,website,slug
"Rusken Packaging Cullman","https://rusken.com","rusken-packaging-cullman"
"Tavrida Electric","tavrida.com","tavrida-electric"
"SMD Steel Rainbow City","https://smdsteel.com","smd-steel-rainbow-city"
"Ormazabal","ormazabal.com","ormazabal"
"Hubbell","hubbell.com","hubbell"
"Miele Manufacturing Inc. Opelika","https://miele.com","miele-manufacturing-inc-opelika"
"Valmont Industries","valmontutility.com","valmont-industries"
"Eli Lilly","https://lilly.com","eli-lilly"
"TSA LLC Tuskegee","https://tsallc.com","tsa-llc-tuskegee"
"NGK-Locke","ngk-locke.com","ngk-locke"
